"siteID","meanLat","meanLon","S.obs","S.chao1","se.chao1","S.ACE","se.ACE","PD","SR","MPD","mean_spatial_turnover","sd_spatial_turnover","n_plots.x","H_plant_bc","n_plots.y","seasonLength"
"JERC",31.1949162210744,-84.4710682252066,52,97.3333333333333,31.8271337143349,67.6429290711241,4.16726725929061,3.762284299,49,0.223157501129128,0.805920725468827,0.148706166575431,12,0.575943270264756,11,361.2
"JORN",32.605413208589,-106.831752369632,24,35,8.8633434517036,45.4487777777778,4.23647057658434,1.824293124,23,0.124980174978819,0.367816794490806,0.0847025572643243,10,0.521472434174509,10,334
"KONA",39.1482142905222,-96.6274285736944,87,133.2,28.169271653088,112.520428355256,5.24555954136404,5.628935497,84,0.187759028586757,0.436229573756941,0.0974078143008837,10,0.642366388642848,10,256.5
"KONZ",39.0949394436019,-96.5640399582938,81,132.666666666667,25.9020711124457,140.613351473923,6.66547917101253,5.152818884,78,0.160240156397355,0.437506074739414,0.115392712721292,10,0.651021138690422,10,255.3
"LENO",31.8154259077844,-88.1859832742515,54,61.3333333333333,5.67463891438144,66.1579512384401,4.14640099987433,3.871187672,52,0.205550331886357,0.589961139262247,0.116945973509176,10,0.506210498532904,10,359.8
"MLBS",37.3794882780423,-80.5263498227513,66,92.25,15.4687423010575,92.3514610942605,4.75730094113364,3.82818216,59,0.196010522918237,0.346542753943797,0.116181844427715,10,0.605531353375461,10,259.8
"MOAB",38.2386019673286,-109.400819222934,20,23,4.56832192576129,23.4819944598338,2.2497763508992,1.316510895,18,0.190526562064838,0.462011772065945,0.176765109052838,10,0.576062113692089,11,256.5
"NIWO",40.046435408953,-105.564082175645,49,68.5,14.7354406679553,60.6966563786008,3.94857227078824,3.194527806,44,0.20707771800373,0.633354022090235,0.255355101583368,11,0.746635340587543,11,141.3
"NOGP",46.7944900165729,-100.913588289243,84,131.25,24.9369060601785,119.981034646837,5.75755160296915,5.329516254,80,0.132786093556498,0.452824757274859,0.126725456933987,10,0.626506180157191,10,204.9
"OAES",35.4133953648649,-99.0643192804054,68,83.3,9.56149637060738,85.219499057366,4.62115358253714,4.32403952,62,0.164447274857009,0.423998414865153,0.0769822407806652,10,0.519741018599697,10,317.6
"ONAQ",40.1798333147208,-112.468518998308,18,19,1.80803922743762,20.5457641549596,2.28644185760579,1.011852503,17,0.097802885882329,0.445471089011589,0.182626489123957,11,0.665766478595573,17,231.2
"ORNL",35.9433187468761,-84.2676445630132,103,140.8,19.4410655309135,132.072147966426,5.81449481452642,5.649094513,95,0.182919616035428,0.626780033237515,0.191912764454203,13,0.65366860715176,13,316.8
"OSBS",29.6913392803083,-81.9715742824107,60,95.1,18.3122918846714,103.324062276958,6.02235273933011,3.342091246,51,0.135271999904553,0.597323282030861,0.198393895031274,12,0.791827650688194,12,364.4
"RMNP",40.179752017762,-105.50993798579,37,48,8.86809590611198,46.1402191772562,3.2239226830869,2.390919648,36,0.133793112169897,0.632346392747321,0.265197917833269,10,0.736562526421569,10,193.8
"SCBI",38.8906069228142,-78.1403317373634,90,102,7.95994876326007,104.160317424252,5.12200350964208,4.726179269,85,0.176020653417757,0.511182550437002,0.133481618832518,12,0.627109386865436,12,280.3
"SERC",38.8870393267279,-76.547816341711,97,112.3,9.56245358272743,113.266272723851,5.36606494456835,5.639610536,92,0.162539690706126,0.463630903826384,0.213685864664719,11,0.589391354573281,11,308.8
"SJER",37.1095461070381,-119.738909601173,22,27,6.00347121810929,27.3678385416667,2.74131039931083,1.292241063,16,0.140292335771424,0.415210787271904,0.101285989422413,10,0.511681219418956,10,363.7
"SOAP",37.0321899027778,-119.26644058547,29,31.5,3.15442495954442,32.4320746527778,2.58833351740969,1.870921,24,0.221980363622908,0.570653766399078,0.174007661118074,12,0.621133169797692,12,335.5
"SRER",31.847899233945,-110.858764557339,33,48,12.8199786213493,49.1724137931034,3.01931428616594,2.557895545,32,0.0446382078874009,0.374716979998829,0.0972921550438106,10,0.569479333924376,10,364.4
"STEI",45.8109963189041,-90.0768439758904,52,60.6666666666667,6.41212896043215,67.8959117449035,4.23277976236601,3.29053763,48,0.163633267705485,0.409265141391994,0.127948875976188,10,0.618412964157817,10,188.5
"STER",40.4730414810954,-103.019683109119,69,76.5,6.35021328675019,76.4062914023754,3.88794584862796,4.140808068,67,0.156534282203279,0.429461587643606,0.268749784107503,11,0.428465829753994,7,234.6
"TALL",32.9185979335938,-87.4218627109375,60,78.2,13.1504209573496,70.2997069964592,4.04183130128911,3.927333844,54,0.208588646146183,0.535505833629021,0.152364954373155,10,0.62859455877345,10,349.6
"TEAK",37.0054172833333,-119.022617295238,18,32,13.1517584375626,32.6521212121212,2.48607969090006,1.474887098,18,0.111122510916803,0.450782552899149,0.16787371096125,10,0.781486064896748,10,290.9
"TOOL",68.5943867739872,-149.489264239872,33,37.2,4.33458732889625,39.5182776727578,3.19504715630753,1.960880665,29,0.166262766785326,0.411720686598306,0.0933238714967385,10,0.581550387604419,4,75.4
"TREE",45.4891665522592,-89.5625852359653,63,81.2,13.1508772488299,75.2247278660604,4.32889070951272,4.024674754,58,0.191673909071593,0.630850612234302,0.217061265628411,12,0.711318800299638,12,191.1
"UKFS",39.0445076567922,-95.1991447253491,82,110.5,17.932692156054,98.0448548203306,4.80158309628327,5.281446488,77,0.222533160842275,0.471106608148737,0.11588404365377,10,0.599190471426651,10,261.5
"UNDE",46.2430393390192,-89.5227359449893,39,48,7.60898591578843,50.5584415584416,3.36096918863531,2.727041024,36,0.170957658280477,0.557184740525438,0.229139666133227,11,0.675450549302409,11,182.3
"WOOD",47.1329229413657,-99.2503647264927,104,113.545454545455,6.56647392675387,113.011790747029,5.19393539270446,6.1758103,100,0.206140412049063,0.642744849947302,0.146723499756156,12,0.736907110889813,12,190.6
"WREF",45.8388658824334,-121.991741148325,16,31,13.6399555386656,35.776,2.81514153512929,1.310575533,15,0.188655925465831,0.286540833623011,0.122013178122349,10,0.544008976491444,10,240.3
"YELL",44.9458086638655,-110.578222484594,43,43.8571428571429,1.39402537221186,45.3864786366659,3.3394193184476,2.455614864,37,0.18977241198166,0.475823148386072,0.125788532267889,10,0.720924309050982,10,166.8
